Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
163 Balikpapan Pesona Alam Permai Rumah 6 Kamar Tidur Siap Huni,"Rp 1,5 Miliar","Balikpapan Utara, Balikpapan",3,2,200 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH MEWAH PLUS FURNISHED DI PUSAT KOTA,"Rp 1,9 Miliar","Balikpapan Tengah, Balikpapan",2,1,60 m²,55 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,Bagus,Dijual
RUMAH HOOK BERSIH BARU RENOVASI DALAM PERUMAHAN BESAR BALIKPAPAN,"Rp 1,81 Miliar","Balikpapan Utara, Balikpapan",6,4,200 m²,240 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH LUAS MEWAH DENGAN KOLAM RENANG DALAM KAWASAN RUMAH ELITE BALIKPAPAN,"Rp 9,5 Miliar","Balikpapan Selatan, Balikpapan",4,4,283 m²,263 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Ya,Tidak,,2,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
Rumah Jalan Siaga Balikpapan.,"Rp 2,8 Miliar","Balikpapan Kota, Balikpapan",5,2,206 m²,139 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,,,,,,,,,,,,Dijual
Rumah ellite full furnish di tengah kota,"Rp 1,8 Miliar","Balikpapan Utara, Balikpapan",4,3,670 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,13200 Watt,3,,,,,,,,,,,,Dijual
RUMAH BDI,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",,,320 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,3300 Watt,,1,Tidak,Tidak,,1,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
RUMAH LUAS MEWAH DEPAN TAMAN DAN LAPANGAN BASKET DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 9,5 Miliar","Balikpapan Baru, Balikpapan",4,4,186 m²,160 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,Bagus,Dijual
Rumah Konsep Elegant Dan Dihook Dekat Terminal Bus ,Rp 1 Miliar,"Balikpapan Utara, Balikpapan",4,3,180 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH MINIMALIS COCOK UNTUK USAHA  DI JLN  MAYJEN SUTOYO COCOK UNTUK USAHA,"Rp 2,5 Miliar","Klandasan Ilir, Balikpapan",4,4,396 m²,289 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,2,,,,,,,,,,,,Dijual
RUMAH HOOK LUAS MEWAH DALAM PERUMAHAN ELITE BALIKPAPAN,Rp 4 Miliar,"Balikpapan Baru, Balikpapan",2,2,135 m²,135 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,,,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
MINIMALIS MODERN TERAWAT DALAM KOMPLEK ONE GATE SYSTEM,"Rp 2,2 Miliar","Balikpapan Selatan, Balikpapan",6,2,128 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
TERMURAH JARANG ADA RUMAH POSISI HOOK,Rp 600 Juta,"Balikpapan Selatan, Balikpapan",4,4,296 m²,245 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,3,,,,,,,,,,,,Dijual
RUMAH MINIMALIS DITENGAH KOTA BALIKPAPAN,"Rp 1,8 Miliar","Balikpapan Selatan, Balikpapan",3,3,220 m²,160 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,,,,,,,,,,,Dijual
SIAP HUNI LINGKUNGAN RAMAH ANAK DALAM KOMPLEK HARGA BERSAHABAT,Rp 850 Juta,"Balikpapan Selatan, Balikpapan",2,1,144 m²,72 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
Rumah Minimalis Include Dapur Dan Pagar,Rp 400 Juta,"Karang Joang, Balikpapan",3,2,140 m²,70 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
"Kredit Rumah Angsuran Murah, Cash Pun Jadi",Rp 231 Juta,"Karang Joang, Balikpapan",3,2,120 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
Rumah Di Wahana Asri,"Rp 1,4 Miliar","Balikpapan Baru, Balikpapan",2,1,96 m²,39 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Tidak,Unfurnished,1,,Tidak,,,Tidak,Baru,Dijual
Rumah di Villa Permata,Rp 400 Juta,"Balikpapan Utara, Balikpapan",2,1,90 m²,36 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Tidak,Unfurnished,1,Pemukiman Warga,Ya,,PAM atau PDAM,Tidak,Baru,Dijual
RUMAH DI AREA WIKA BALIKPAPAN,Rp 740 Juta,"Balikpapan Utara, Balikpapan",2,2,270 m²,80 m²,,Rumah,SHM - Sertifikat Hak Milik,3300 Watt,1,,,,Unfurnished,1,,,,,,Bagus,Dijual
RUMAH MINIMALIS BEBAS BANJIR DI GUNUNG GUNTUR,Rp 550 Juta,"Gn. Sari Ilir, Balikpapan",2,1,120 m²,48 m²,,Rumah,SHM - Sertifikat Hak Milik,,,,,,Unfurnished,1,,,,,,Baru,Dijual
REGENCY,Rp 500 Juta,"Balikpapan Selatan, Balikpapan",3,1,120 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
PERUM BUKIT MUTIARA,Rp 650 Juta,"Balikpapan Utara, Balikpapan",2,1,78 m²,40 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
PERUM GRIYA PERMATA ASRI,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",2,1,96 m²,96 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH BARU SELESAI RENOVASI 2 LANTAI SIAP HUNI DI BALIKPAPAN BARU.,"Rp 3,1 Miliar","Balikpapan Baru, Balikpapan",2,2,120 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH BESAR BAGUS COCOK UNTUK USAHA  AREA INDRAKILA,"Rp 3,5 Miliar","Balikpapan Utara, Balikpapan",3,1,200 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH SULTAN CANTIK TERAWAT SIAP HUNI DI BALIKPAPAN UTARA,"Rp 4,7 Miliar","Balikpapan Utara, Balikpapan",,4,200 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH MINiMALIS SIAP HUNI DI  KEBUN SAYUR,Rp 3 Miliar,"Marga Sari, Balikpapan",5,4,401 m²,201 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH MINIMALIS MODERN SIAP HUNI DI SEPINGGAN PRATAMA,"Rp 2,5 Miliar","Sepinggan, Balikpapan",,4,538 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH MINIMALIS SIAP HUNI DI TAMAN SARI BUKIT MUTIARA (WIKA),"Rp 1,5 Miliar","Balikpapan Utara, Balikpapan",7,7,600 m²,550 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH MINIMALIS SIAP HUNI BALIKPAPAN REGENCY,Rp 995 Juta,"Balikpapan Selatan, Balikpapan",3,2,176 m²,80 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH 2 LANTAI BARU SElESAI RENOVvASI BALIKPAPAN REGENCY,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",4,2,200 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH MINIMALIS SIAP HUNI DI TAMAN SARI BUKIT MUTIARA,"Rp 1,3 Miliar","Balikpapan Utara, Balikpapan",3,1,180 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
BALIKPAPAN BARU,"Rp 2,5 Miliar","Damai, Balikpapan",4,3,157 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
BORNEO PARADISO,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",3,1,144 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
GRAHA INDAH,Rp 600 Juta,"Balikpapan Utara, Balikpapan",4,2,200 m²,275 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH 2 LANTAI AREA SEKOLAHAN ,"Rp 4,7 Miliar","Balikpapan Utara, Balikpapan",5,2,178 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH CANTIK DI KOMPLEK PERUMAHAN ELIT,"Rp 2,5 Miliar","Balikpapan Selatan, Balikpapan",3,1,108 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH MINIMALIS DITENGAH KOTA balikpapan,Rp 1 Miliar,"Balikpapan Selatan, Balikpapan",5,4,538 m²,250 m²,1,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,2,,,,Unfurnished,2,,,,,,Bagus Sekali,Dijual
DI JUAL RUMAH STRATEGIS DI KAWASAN PERUMAHAN BALIKPAPAN BARU,"Rp 2,7 Miliar","Damai, Balikpapan",3,2,178 m²,80 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,Unfurnished,1,,,,,,Bagus Sekali,Dijual
RUMAH SATU LANTAI DI KAWASAN PERUMAHAN BORNEO PARADISO,Rp 400 Juta,"Balikpapan Selatan, Balikpapan",3,2,180 m²,108 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,Unfurnished,2,,,,,,Bagus,Dijual
DESIGN MINIMALIS DEKAT ISLAMIC CENTER,Rp 950 Juta,"Balikpapan Selatan, Balikpapan",3,2,200 m²,120 m²,,Rumah,HGB - Hak Guna Bangunan,3500 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH BALIKPAPAN SIAP HUNI CIPUTRA PUSAT KOTA FURNISH,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",2,1,60 m²,30 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH TIGA KAMAR DALAM CLUSTER WIKA,"Rp 1,3 Miliar","Balikpapan Utara, Balikpapan",3,2,128 m²,75 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH 3 BANGUNAN TERPISAH BERKONSEP COTTAGE,"Rp 4,2 Miliar","Batu Ampar, Balikpapan",3,2,150 m²,135 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
 DI JUAL RUMAH SHM DI PERUMAHAN ELIT CITRA CITY,"Rp 5,5 Miliar","Balikpapan Selatan, Balikpapan",3,2,150 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
HUNIAN DAN TANAH KEBUN LUAS PINGGIR JALAN PROPINSI BEBAS BANJIR,Rp 3 Miliar,"Balikpapan Timur, Balikpapan",5,6,770 m²,350 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
RUMAH 2 LANTI MEWAH DAN ISTIMEWA,"Rp 3,9 Miliar","Balikpapan Selatan, Balikpapan",4,3,500 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH HITUNG TANAH,Rp 700 Juta,"Balikpapan Barat, Balikpapan",4,2,2280 m²,225 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
"RUMAH DALAM KOTA,PERUM KORPRI","Rp 3,1 Miliar","Balikpapan Selatan, Balikpapan",4,4,300 m²,330 m²,,Rumah,SHM - Sertifikat Hak Milik,13200 Watt,,,,,,,,,,,,,Dijual
HOOK BESAR DALAM PERUMAHAN ELIT,"Rp 3,8 Miliar","Balikpapan Selatan, Balikpapan",3,1,208 m²,70 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH CLASSIC BALIKPAPAN DAN KOS TERAWAT DEKAT SMK AIRLANGGA DAN KAMPUS STIEPAN,"Rp 2,49 Miliar","Balikpapan Tengah, Balikpapan",5,1,600 m²,350 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH TIGA KAMAR TIDUR DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 1,33 Miliar","Balikpapan Selatan, Balikpapan",4,3,322 m²,230 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
MILONO,"Rp 3,2 Miliar","Klandasan Ulu, Balikpapan",4,2,540 m²,207 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,5,,,,,,,,,,,,Dijual
TURUN HARGA RUMAH MEWAH DEPAN BSBS,"Rp 7,75 Miliar","Balikpapan Selatan, Balikpapan",3,2,120 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,,,,,,,,,,,,Dijual
KANTOR/ MESS/ RUMAH TINGGAL STRATEGIS JUAL CEPAT,"Rp 4,5 Miliar","Balikpapan Utara, Balikpapan",12,13,400 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
"TURUN HARGA RUMAH BARU, CITRA INDAH","Rp 4,6 Miliar","Balikpapan Selatan, Balikpapan",6,5,380 m²,500 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,3,,,,,,,Dijual
TURUN HARGA RUMAH BARU,"Rp 4,5 Miliar","Balikpapan Selatan, Balikpapan",7,4,550 m²,550 m²,2,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,2,,,,,,,Dijual
TURUN HARGA RUMAH MEWAH TENGAH KOTA pusat kota perum ELITE,Rp 12 Miliar,"Balikpapan Selatan, Balikpapan",5,4,425 m²,300 m²,1,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,1,,,,,,,Dijual
RUMAH MEWAH ELEGAN DI PINGGIR JALAN BESAR KOTA BALIKPAPAN,"Rp 4,2 Miliar","Balikpapan Utara, Balikpapan",5,5,250 m²,300 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,2,,,,,,,Dijual
"BALIKPAPAN,  PONDOK KARYA AGUNG BESAR (Y140)","Rp 2,2 Miliar","Sepinggan, Balikpapan",5,4,700 m²,550 m²,10,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Tidak,Tidak,Furnished,2,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
Rumah Mewah Harga Murah 250 Meter Jalan Poros,"Rp 1,06 Miliar","Balikpapan Selatan, Balikpapan",5,4,540 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,2,,,,,,,,,,,,Dijual
Rumah Asri View Lapangan Golf,"Rp 2,64 Miliar","Balikpapan Selatan, Balikpapan",5,2,403 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
TURUN HARGA!  CEPAT RUMAH CANTIK SIAP HUNI 2 LANTAI TAMANSARI BUKIT MUTIARA (WIKA) BALIKPAPAN KAL-TIM,"Rp 3,5 Miliar","Balikpapan Utara, Balikpapan",3,2,168 m²,90 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1,Ya,Ya,Unfurnished,2,Pemukiman Warga,Ya,2 Mobil,Sumur Bor,Tidak,Baru,Dijual
BALIKPAPAN RUMAH PINGGIR JALAN,Rp 700 Juta,"Balikpapan Tengah, Balikpapan",4,4,130 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,Unfurnished,2,,,,,,Baru,Dijual
BALIKPAPAN PERUMAHAN BALIKPAPAN BARU,"Rp 3,6 Miliar","Balikpapan Baru, Balikpapan",4,5,319 m²,490 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,2,Ya,Ya,,2,Pemukiman Warga,Ya,2 Mobil,,Ya,Sudah Renovasi,Dijual
"BALIKPAPAN, RUMAH PINGGIR JALAN TOL",Rp 18 Miliar,"Manggar, Balikpapan",3,2,144 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
Rumah Bagus Siap Huni di Kartini Residence Balikpapan,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",4,3,180 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
Hunian modern dekat rumah sakit umum Kanujoso,"Rp 1,01 Miliar","Balikpapan Utara, Balikpapan",6,3,4580 m²,600 m²,,Rumah,SHM - Sertifikat Hak Milik,6600 Watt,,,,,,,,,,,,,Dijual
BALIKPAPAN RUMAH TENGAH KOTA,"Rp 1,85 Miliar","Gn. Sari Ilir, Balikpapan",3,2,180 m²,150 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Ya,Bagus,Dijual
RUMAH BAGUS 3 LANTAI DI GUNUNG SARI BALIKPAPAN,Rp 2 Miliar,"Balikpapan Tengah, Balikpapan",4,2,120 m²,72 m²,2,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,Ya,Ya,,,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
Dijual Rumah Konplek Anugrah Residence Balikpapan,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",4,2,135 m²,260 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
Rumah Mewah Balikpapan,"Rp 7,5 Miliar","Balikpapan Selatan, Balikpapan",3,3,151 m²,124 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
"BALIKPAPAN, RUMAH BESAR DAN NYAMAN DI PUPUK","Rp 3,55 Miliar","Balikpapan Selatan, Balikpapan",4,2,104 m²,100 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1,Tidak,Tidak,Unfurnished,1,,Tidak,,Sumur Pompa,Tidak,Baru,Dijual
"Rumah di Bukit Mutiara Indah Cendana 2 Wika Balikpapan 2 Lantai, bagus","Rp 1,75 Miliar","Balikpapan Utara, Balikpapan",5,3,450 m²,800 m²,2,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,1,Ya,Ya,Unfurnished,4,Perkotaan,Ya,4 Mobil,PAM atau PDAM,Ya,Sudah Renovasi,Dijual
"BALIKPAPAN, RUMAH MURAH DI TAMAN SARI BUKIT MUTIARA",Rp 920 Juta,"Balikpapan Utara, Balikpapan",6,4,300 m²,290 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH MEWAH WIKA,Rp 4 Miliar,"Balikpapan Utara, Balikpapan",3,1,144 m²,84 m²,2,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1,Ya,Ya,,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
RUMAH DAN TANAH DI DAERAH KARANG JATI,Rp 1 Miliar,"Balikpapan Tengah, Balikpapan",2,1,150 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
Rumah di  di daerah kilo,"Rp 1,7 Miliar","Balikpapan Utara, Balikpapan",5,5,319 m²,287 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH DENGAN HARGA TERJANGKAU DAERAH PERUMAHAN DENGAN LOKASI AMAN DAN NYAMAN,Rp 750 Juta,"Balikpapan Utara, Balikpapan",4,3,424 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
Rumah Minimalis di Tengah Kota,Rp 950 Juta,"Balikpapan Utara, Balikpapan",3,2,285 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
Rumah siap huni di Balikpapan Baru Cluster Mediterania 2 Lantai ,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",2,2,90 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
Dijual Cepat Rumah di Tengah Kota Pupuk,"Rp 2,7 Miliar","Balikpapan Selatan, Balikpapan",4,2,201 m²,180 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Tidak,Tidak,Semi Furnished,1,,Ya,,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
366 Balikpapan Baru Rumah Besar Tanpa Renovasi Harga Murah,"Rp 2,95 Miliar","Balikpapan Baru, Balikpapan",3,2,105 m²,100 m²,2,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,1,Ya,Ya,Semi Furnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
Dijual Cepat Rumah Di Bukit Damai Indah Bdi,"Rp 1,89 Miliar","Balikpapan Selatan, Balikpapan",2,1,500 m²,224 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Tidak,Unfurnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,,Dijual
"RUMAH LIMA KAMAR TIDUR KOMPLIT BESERTA SEMUA ISINYA,  DALAM PERUMAHAN ELIT KOTA BALIKPAPAN KALTIM","Rp 2,8 Miliar","Balikpapan Selatan, Balikpapan",4,4,300 m²,289 m²,2,Rumah,SHM - Sertifikat Hak Milik,10600 Watt,2,1,Ya,Ya,Unfurnished,2,Perkotaan,Ya,3 Mobil,Sumur Pompa,Tidak,Sudah Renovasi,Dijual
RUMAH PUPUK DEKAT BALIKPAPAN SUPER BLOK ,"Rp 4,5 Miliar","Balikpapan Kota, Balikpapan",5,3,240 m²,200 m²,1,Rumah,SHM - Sertifikat Hak Milik,22000 Watt,1,,Tidak,Tidak,Unfurnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,,Dijual
Rumah Bagus Siap Huni di Balikpapan Regency,"Rp 1,85 Miliar","Balikpapan Selatan, Balikpapan",5,5,280 m²,226 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,1,Ya,Ya,Furnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
RUMAH TUMBUH BARU DUA LANTAI TIGA KAMAR TIDUR DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 2,1 Miliar","Balikpapan Utara, Balikpapan",3,2,330 m²,300 m²,3,Rumah,SHM - Sertifikat Hak Milik,10000 Watt,1,1,Ya,Tidak,Furnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
362 Balikpapan Baru Rumah Kondisi Bagus Full Furnish Siap Pakai Memiliki Area Terbuka Cukup Banyak,"Rp 4,5 Miliar","Balikpapan Baru, Balikpapan",3,2,180 m²,120 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Unfurnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Ya,Bagus,Dijual
361 Balikpapan Baru Rumah Elegant Di Perumahan Cluster Elite,"Rp 5,5 Miliar","Balikpapan Baru, Balikpapan",3,3,140 m²,70 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
"BALIKPAPAN, RUMAH STRATEGIS DAN NYAMAN DI RUHUI RAHAYU","Rp 1,1 Miliar","Balikpapan Selatan, Balikpapan",4,3,400 m²,250 m²,2,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,1,Ya,Ya,Furnished,2,Taman Kota,Ya,3 Mobil,,Tidak,Bagus,Dijual
"BALIKPAPAN, RUMAH CANTIK DAN NYAMAN DI KILO 10",Rp 750 Juta,"Balikpapan Utara, Balikpapan",5,4,396 m²,400 m²,2,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,2,Ya,Ya,Unfurnished,1,,Ya,3 Mobil,Sumur Bor,Tidak,Bagus,Dijual
"Dijual Rumah di Komp. Puri Ratu Kencana, Balikpapan",Rp 850 Juta,"Balikpapan Selatan, Balikpapan",3,2,134 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
RUMAH DENGAN LUAS TANAH DAN LUAS BANGUNAN YANG CUKUP BESAR HARGA BERSAHABAT,"Rp 1,35 Miliar","Balikpapan Selatan, Balikpapan",3,3,144 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
"RUMAH DIBALIKPAPAN TENGAH SIAP HUNI, KOTA PENYANGGA IKN",Rp 800 Juta,"Balikpapan Tengah, Balikpapan",2,1,88 m²,88 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Unfurnished,1,,Ya,,PAM atau PDAM,Tidak,Bagus,Dijual
RUMAH DI MT HARYONO DAERAH RAMAI DEKAT PERUMAHAN GRAND CITY,Rp 900 Juta,"Balikpapan Utara, Balikpapan",4,3,400 m²,146 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH DI MT HARYONO DAERAH RAMAI DEKAT PERUMAHAN GRAND CITY,Rp 900 Juta,"Balikpapan Utara, Balikpapan",4,2,120 m²,8 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Ya,Ya,,,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
